image_id,caption
100039,"the image features a page from a book titled "" momentous de vaucluse, "" detailing an introduction and chapters."
100040,"a sleek, octagonal glass perfume bottle with a wooden cap, labeled "" eau sauvage "" on a wooden surface."
100041,"a black crock - pot slow cooker sits on a countertop, surrounded by kitchen appliances and utensils."
100042,"two tin cans sit side by side : one labeled "" the rogue station "" and the other "" dura coffee and energy drink. """
100043,"the image features two beakers : one with liquid, and another containing a different substance, suggesting different substances or liquids."
100044,"a large passenger ferry named "" viking line "" docked by the water, showcasing its sleek design and red and white design."
100045,"the image shows various bottles of "" apple cider, "" a type of cider made with real apple juice."
100046,"two young boys in baseball uniforms are on a field, one wearing a blue jersey and the other in white."
100047,"a computer monitor displays a digital design project titled "" unity "" with a focus on graphic design elements."
100048,"a classroom monitor displays a projector screen with a note about project management, time, and a focus on project management."
100049,"a black book cover features gold text that reads, "" i ' m no rocket - surgeon "" on the left."
100050,"a bottle of shalima perfume by christian dior, featuring a sleek design and a blue cap."
100051,"a black mug with mathematical equations and symbols printed on it, set on a white surface."
100052,"the scoreboard shows the final score : penn vs delor, librium c., with 0 - 0 remaining in the second period."
100053,"the image displays a poster titled "" maugeschen - antc in allen klassen, "" detailing data on mobile phone usage and communication."
100054,"a young man in a red baseball uniform stands on the field, wearing a glove and cleats."
100055,"the image shows a brick building with a prominent sign reading "" sam ' s "" against a dark background."
100056,"a stack of books on various topics, including law, economics, and culture, with titles related to law and law."
100057,"the image features three individuals, including a woman and a boy, with a magazine cover titled "" today. """
100058,"the image shows several clear bottles with colorful caps, likely containing drinks or wine, displayed on a shelf."
100059,"a white hockey jersey featuring the toronto maple leafs logo and sponsor text, with blue stripes and a logo on the front."
100060,"a green bottle of nestle is displayed prominently on a stand, illuminated by soft light in a dimly lit setting."
100061,"a floral arrangement with blue flowers and butterfly decorations is placed on a pink background, captioned "" happy valentine ' s day. """
100062,"a collection of books titled "" souvenirsia, "" featuring various colored spines with labels indicating publication dates and topics."
100063,"a group of six people stands on a stage, wearing colorful clothing and shorts, with various merchandise displayed."
100064,"a red waste container labeled "" operation bling "" stands on a sidewalk, promoting waste separation."
100065,"a narrow aisle filled with shelves of books, featuring a chair and a chair in the foreground."
100066,"the image shows a fast food counter at salads & fries, featuring a display of various food items and a refrigerated section."
100067,"an open book displays text from a historical narrative, featuring dialogue and narrative elements on the left page."
100068,"a man in a white shirt and jeans sits on a horse - drawn carriage, surrounded by vintage vehicles and nearby vehicles."
100069,"a model train is displayed prominently on a platform, surrounded by various vehicles and lights."
100070,"a boy in a red sports uniform skates on ice, wearing roller skates and black gloves."
100071,"a colorful display features a sign reading "" celeb de viro "" and a large, artistic figure in the background."
100072,"a whiteboard displays a flowchart related to project management, with labeled components and processes related to the process."
100073,"a football player in a white jersey dribbles the ball, while another player in a blue jersey runs nearby."
100074,"two male wrestlers compete on a mat, one in a red and blue uniform, the other in blue."
100075,"a cluttered desk with a variety of items, including bottles, markers, and a clock, surrounded by office supplies and supplies."
100076,"a tin can of heinz smoked steaks on a wooden cutting board, featuring a bold design and detailed information."
100077,"a green traffic sign indicates "" transit air, "" directing drivers to the left near a scenic landscape."
100078,"the image features a book titled "" gull utanpa "" by patrick lundberg, showcasing its cover design and text about the film."
100079,"a bottle of 2008 beaune - bleu - brut wine, featuring a sleek design and labeled clearly at the base."
100080,"a man in a toronto blue jays jersey signs a table at a sports event, surrounded by fans."
100081,the image features a vintage blue aircraft with the number 422 and a prominent propeller.
100082,"a brass sign displaying "" brass "" is displayed, surrounded by various glass bottles on a wooden shelf."
100083,"the image features various books and guides, including "" car brochure club "" and "" directory, "" showcasing vintage cars."
100084,"a plaque featuring a portrait of julia howard, detailing her achievements during civil war, with names of notable figures."
100085,a silver mobile phone with a flip screen and a qwerty keyboard rests on a wooden surface.
100086,"the image shows an open book page with a blank page labeled "" inhaler conference "" and "" conference details. """
100087,"a rider in a bright green motocross gear navigates a dirt path, with clear gear and a clear sky in the background."
100088,"a person holds a comic book titled "" dynamic comics "" while handling it among various stacked boxes."
100089,"a weathered stop sign, red with white, displays the word "" stop "" prominently, accompanied by the word "" give thanks. """
100090,"a sleek lg mobile phone with a touchscreen display, featuring a minimalistic design and black detailing."
100091,"billboard featuring a humorous message about food preparation, emphasizing creativity and love for wild creatures."
100092,"a large blue sign reads "" warnow werf "" above a crane, with cranes lifting cargo."
100093,"two glasses of beer are held, showcasing golden liquid and frothy foam, with a textured background."
100094,"two glass bottles are displayed. one is dark glass, and the other is dark blue, both featuring embossed text."
100095,"a white mug features a whimsical illustration of a person wearing a hat, with the text "" let ' s put the fun back in dysfunctional. """
100096,"close - up of a laptop keyboard, focusing on the keys ' ' q ' and ' l ' keys."
100097,"digital clock displaying time as oct 21, 2015, and a countdown timer as of october 21, 2015."
100098,"the image displays a variety of colorful snack boxes, primarily snack products, arranged on a store shelf."
100099,"a man in a green shirt holds two small girls in a field, smiling at the camera."
100100,"a large airplane, identified by its ana livery, is taxiing on an airport runway."
100101,"a colorful poster for the "" estair "" complex different, featuring a face with a patriotic theme, promoting an event called "" comedy with a nose. """
100102,"a red book titled "" wien kampj "" with gold lettering, focusing on latin aberoging and its use in religious ceremonies."
100103,"a graffiti on a wall features a large dog and text stating, "" always freedom is not the same thing free, "" emphasizing urban street art."
100104,a man in a beige shirt eats noodles while using a spoonful of soup from a bowl on a table.
100105,"a smartwatch displays the time and date next to a smartphone showing the time, date, and app icons."
100106,"a glass of pink drink with ice sits next to a bottle labeled "" rkkordberg "" from a brewery."
100107,"a copper coin from latvia, dated 2013, featuring the national coat of arms and the inscription "" 1 s. """
100108,"a wet street with people walking, lined with trees and a stone wall beside the road."
100109,"a man in a baseball uniform prepares to pitch, wearing a glove and dark footwear on a baseball field."
100110,"close - up shot of a dark computer keyboard, highlighting the letters and keys in a low - light setting."
100111,"a skateboarder performs a trick on a rail, surrounded by greenery and spectators in a sunny park."
100112,"three green waste containers labeled "" plaston waste, "" located on elm street, covered in snow."
100113,"a samsung mobile phone is displayed on a marble surface, showing a colorful home screen with various app icons."
100114,"a stack of cardboard boxes labeled with various names and phrases, positioned on a floor near a window."
100115,"a young man in a pirate hat holds a sign reading "" good ideas are made to be coppeded, "" surrounded by various items on a table."
100116,"a busy street scene with people walking, cars parked, and a woman holding an ice cream. a storefront is visible."
100117,"a book titled "" a physical introduction to suspensional dynamics "" by cambridge texts, featuring a detailed description of physics concepts."
100118,"a glass of hennem ' s pale ale with a golden hue and frothy head, showcasing its beer color and logo."
100119,a sleek black prada watch box is displayed alongside a stylish black watch inside the iconic prada box.
100120,"two men in suits stand in front of a small aircraft, labeled "" acer cargo. "" the aircraft is parked on a runway."
100121,"a red blender with a silver bowl, labeled "" robot + coupe "" and "" r2 ultra, "" designed for food preparation."
100122,"the image features a digital clock displaying "" experience "" with directions to days and minutes."
100123,"three individuals pose together, wearing hockey jerseys. one shirt reads "" wvu - 1, "" while the other reads "" iowa state "" with the number 16."
100124,"the image features a cartoonish illustration of a ship labeled "" american speedway "" with animated characters on it."
100125,"a baseball team celebrates a victory, wearing matching uniforms, on a well - lit field at night."
100126,"the image shows a double - decker bus stop sign for "" familymart "" and a bus stop sign for "" 24 open. """
100127,"the image features two book covers : "" steampunk ii "" by anne lefemfroy, showcasing fantasy themes and science fiction themes."
100128,"a group of men in green sports uniforms poses with a trophy, celebrating a race victory in a racetrack setting."
100129,"the image features a computer display with colorful data points, indicating a system s purpose and significance."
100130,"a white box with red accents, labeled "" potassium sodium sodium glycerol, "" rests on a dark surface."
100131,the image shows a colorful convenience store with shelves displaying various snacks and food items.
100132,"the image features a book cover titled "" blue mars "" by kim stanley robinson, showcasing a cosmic scene with a spaceship and planets."
100133,a bag of doritos x - 13d mexican fried corn chips is displayed on a dark surface.
100134,"a vintage airplane, marked "" air europe "" sits on a runway under a cloudy sky, showcasing its vintage design."
100135,"a man and a woman embrace, both wearing casual clothing, by the ocean. the woman has blonde hair and is engaged in conversation."
100136,"poster for "" theatre "" event featuring performances by various performers, with ticket information and event details displayed."
100137,"a man in a white basketball uniform, number 9, stands on the court, with fans cheering in the background."
100138,"the image shows a wire rack containing various cds, organized neatly with labels and featuring different album covers."
100139,"a man with dark hair wears a striped sports uniform, sitting on a grassy field near a stadium."
100140,"a large billboard features the text "" elhamticum restaurant "" in bold red letters against a clear blue sky."
100141,"the image features a snack package labeled "" cheetos "" with a cartoon character kicking a soccer ball, alongside a colorful drink can."
100142,"a baseball player in a red and white uniform throws a pitch on the field, with teammates visible in the background."
100143,"a double - decker bus in cream and red, labeled "" citybus "" is parked on a street near buildings."
100144,"a vintage blue typewriter sits on a cobblestone surface, showcasing classic office supplies and its unique design."
100145,"a yellow taxi is parked beside several other vehicles, with a colorful building and decorative elements in the background."
100146,"a retro television displays a video game scene on the screen, featuring a cyclist and scenic views of mountains and hills."
100147,"a red octagonal stop sign is prominently displayed, surrounded by green trees in a wooded area."
100148,"a spacious indoor venue features people walking, a menu board, and a modern design, creating a lively atmosphere."
100149,"the image shows a packaged banana, labeled with japanese text, resembling a snack or dessert."
100150,"a street scene featuring parked cars, buildings, and shops, with shops lining both sides and streetlights overhead."
100151,"an open book displays text on pages, featuring a black - and - white image of a building and a sign below."
100152,"billboard welcomes visitors to selly oak station car park, highlighting its future property, with contact information prominently displayed."
100153,"a player in an orange sports uniform runs on the field, focused and ready for the game."
100154,"an open book page with text, showing chapter i and iv titled "" and my vol i, "" and "" erata. """
100155,"directional traffic sign indicating directions to wytland, wolverston park, attaghon, and attaghon house."
100156,"the image shows stacked books, with a colorful spine highlighting titles related to mathematics and abc, on a shelf."
100157,"a close - up of a wine bottle label, featuring "" special reserve bolle brownie "" from 2004."
100158,"a dark beer bottle with a pink label, featuring chinese characters and decorative elements, resting on a wooden surface."
100159,a pitcher in a gray sports uniform throws a baseball from the pitcher on a field.
100160,"map of the bell trail and lone canyon, showing routes and locations like apple pie and seligger trail."
100161,"the image features two coca - cola bottle caps : one red and one black, both branded with "" zero. """
100162,"the image shows a promotional poster for dixonos, featuring a christmas - themed sale of office supplies and games."
100163,"a red sprint car with a large rear wing sits on a dirt track, ready for competition."
100164,"two dell laptops are displayed on a table, showcasing their keyboards and screens against a blue background."
100165,"the image features a box set titled "" exploding minds, "" showcasing various boxed items, including science fiction themes."
100166,"a laptop screen displays the change to change interface for unleaded world, featuring a diamond logo and username details."
100167,"a smiling woman holds a book titled "" cherry noodle, "" while seated in an indoor setting with people in the background."
100168,"the image is a magazine cover titled "" next, "" featuring geometric shapes and bold graphics, highlighting artists and information about their events."
100169,"a person holds a book titled "" playbill "" featuring a portrait on the cover, titled "" posterfly "" with artistic text."
100170,"a poster featuring a bottle of jamaica rum, labeled "" dark & naughty, "" with a playful illustration of a horse."
100171,"a sleek bottle of nuva wine, featuring a yellow glass design and an elegant label."
100172,"the image features a framed text document, likely a historical text or narrative, detailing its significance and significance."
100173,"a lineup of various beer bottles displayed on a carpet, featuring different brands and styles."
100174,"a laptop with a visible keyboard sits on a glass desk, next to a mobile phone. the laptop screen displays "" many! """
100175,"a close - up of a kaiser beer glass, showing the label and golden liquid against a cloudy background."
100176,"a silver watch with a brown leather case and a black dial, featuring a date function and leather strap."
100177,"a person sits at a desk, writing in front of a lamp and an action sign in a room with a decorative chair."
100178,"a small kitchen featuring a gas stove, sink, cabinetry, and a light - colored countertop."
100179,"an open notebook with handwritten notes and a drawing on the right side, resting on a colorful patterned surface."
100180,"a nokia mobile phone displays the sim card interface, indicating it is powered on a similar device."
100181,"a football match scene with players in jerseys, a referee, and a referee preparing for a play."
100182,"a person holds a mobile phone, capturing a scene with a blurred background and a clear cup."
100183,a metal object resembling a printer case displays a printer ' s gear on a table with a price tag of $ 49. 95.
100184,"a large, silver laboratory appliance with a control panel and buttons, designed for electronic signal equipment."
100185,"a close - up of a rolex submariner watch with a black dial and date feature, showcasing its stainless steel design and date feature."
100186,"two vintage computer keyboards are displayed on boxes, showcasing their sleek designs and varying colors, in an office setting."
100187,"the scoreboard displays game information, showing a basketball game with 38 points and 3 : 32 remaining in the second period."
100188,"a vintage orange corded telephone with a rotary dial and a connected handset, displayed on a reflective surface."
100189,"the image shows the grand facade of the metropolitan museum of art, featuring classical columns and a prominent entrance."
100190,"the image shows two bottles of mountain view winery ' s american elderberry wine, labeled with their wine details."
100191,"a red hatchback car is parked on a snowy street, surrounded by greenery and trees."
100192,"the image features a circular emblem depicting a hammer and sickle, with the text "" department of the year "" above it."
100193,"a black printer is partially open in a cardboard box, with a sheet of paper inserted and a label on top."
100194,"a tablet computer displays a variety of colorful app icons on its screen, resting on a leather surface."
100195,"a group of six people, including a man in a red shirt, standing with four others in casual clothing."
100196,"a large, blue and black blimp with "" direct "" branding floats in a clear sky."
100197,"the image features a white poster titled "" the ranger programme, "" showcasing a red text design with a emblem."
100198,"a man holds a drink, wearing a black t - shirt and a cap, in front of a watch display."
100199,"a storefront displays "" think uk "" with a man walking past, promoting an exhibition."
100200,"a close - up of a jameson bottle, featuring the label and branding, showcasing a irish whiskey."
100201,"a group of players in blue baseball uniforms celebrates together, high - fiving each other on the field."
100202,"a poster featuring the turbosonic appliance, including speakers and a control panel, displayed against a blue background."
100203,"a smartwatch displays the time as 10 : 16 and the date, with a pink circle background."
100204,"the image features multiple vintage newspaper front pages documenting the september 11 attacks, showcasing various headlines and images from various publications."
100205,"two caution signs indicate "" mind your head "" and "" caution tip hazards, "" advising against trespassing."
100206,"a person is seated, while two computer monitors display video feeds of themselves, in a dimly lit setting."
100207,"a framed artwork depicts a building with trees, surrounded by a cloudy sky. the design is titled "" building spirit. """
100208,"a blue and white boat with two passengers is speeds across the water, creating a spray, highlighting a thrilling water sports scene."
100209,"a person wearing a red shirt displays a logo and text, standing in a grassy area."
100210,"poster for "" across the universe "" tour, featuring a red heart design and green leaves, announcing the event on april 25."
100211,"two women are dancing in a kitchen. one wears a black shirt with "" i love my wife "" and the other a light - colored shirt."
100212,"a person holds a sign with arabic text, indicating a message of peace and strength."
100213,"a smartwatch displays the time, date, and app icons on a sleek touchscreen."
100214,"a white laptop displays a webpage titled "" qwerty keyboard "" alongside a certificate of achievement."
100215,"a red and white aircraft is taking off, showcasing its sleek design and propeller. mountains are visible in the background."
100216,"two runners compete in a race under a large banner. the atmosphere is energetic, with spectators and trees in the background."
100217,"a bottle of aleina & sardi wine from 2010, featuring a vintage label with elegant design and vintage details."
100218,"a shelf displays a collection of books, mostly on automobile design and racing themes, with titles from various publishers."
100219,"the image features a vehicle registration plate reading "" h2, "" with the number "" hummer "" at the bottom."
100220,"a clear glass sits beside a new england crush magazine on a wooden surface, showcasing a scenic cover."
100221,"a television displays a sports event featuring players from two teams, including a player with a ball, and a crowd cheering."
100222,"a crowded stadium during a football game, featuring players on the field and a cheering crowd."
100223,"an vintage poster featuring a man in space attire, observing planets while flying, promoting internet access with a humorous tagline."
100224,"the image shows two cans of "" nestle milo "" food drink, featuring a green and white design."
100225,"a lineup of six wine bottles, featuring various labels and colors, displayed on a table outdoors."
100226,"two chefs in white uniforms stand behind a counter filled with food items, accompanied by a "" glory foodies "" sign."
100227,"a sleek glass perfume bottle labeled "" n. chanel no. 5, "" featuring a golden liquid, with a sleek black design."
100228,an open book page featuring text about friendship and a view of people and their experiences.
100229,"a man in a black sports uniform with red accents stands against a sponsor backdrop, looking serious and contemplative."
100230,"a man in a white shirt stands next to a woman in a red skirt, in a cozy room with a clock."
100231,"a colorful sign reads "" live oranges "" near a gas station, with trees and a cloudy sky in the background."
100232,"the image features a plate with two patties, a side salad, and a can of southern style ale."
100233,"a bottle of dark beer sits next to a glass filled with dark beer, surrounded by kitchen utensils and cutlery."
100234,"a hand holds a watch, while a fishing vessel is visible in the background, with water splashing."
100235,"the image shows a large aircraft engine with a trailer, alongside a truck truck, in a hangar."
100236,"a bottle of sumac ridge beer, labeled for its malbec color, showcasing its distinctive blue and gold design."
100237,"a disassembled laptop showing its internal components, including a keyboard, circuit board, and speaker with an opening door."
100238,"a bottle of southern riper beer stands beside a filled glass, showcasing a golden amber liquid and frothy head."
100239,"a baseball player in a white phillies uniform prepares to pitch on an infield, wearing red accents and black gloves."
100240,the image displays a computer monitor showing a grid of application icons and specifications.
100241,"the image shows the back of an iphone 4s, featuring a sleek design and colorful app icons."
100242,"a hand holds a black nokia mobile phone, displaying a keypad and a screen, on a wooden surface."
100243,a player in a white baseball uniform throws a ball while wearing a glove on the field.
100244,"the image shows several large brewing machines with stainless steel arms and a visible control panel, set in a dimly lit space."
100245,"the image features a casio calculator with a box labeled "" casio "" and a card labeled "" casio "" beside it."
100246,"a wooden console table displays a framed artwork, a vintage clock, and decorative candles and lamps."
100247,"a parking meter stands on a pole, displaying instructions and time, with a blurred vehicle in the background."
100248,a group of women players in orange and blue jerseys engage in a soccer match indoors.
100249,"a mobile phone lies on a wooden surface, displaying a vibrant geometric screen with the time visible."
100250,"a large white cardboard box with shipping labels, marked for fragile handling, rests on a wooden surface."
100251,"the image shows a historical marker for the national weather center building, detailing various events and significance."
100252,"billboard promoting good safety with the message : "" there will be more important to unleaded safety than to safety. """
100253,"the image shows a whiteboard with colorful drawings and text, including a "" i ' m too boat! "" message and playful illustrations."
100254,"a sleek lg watch with a white band displays the time as 17 : 15, worn on a wrist."
100255,"a close - up view of a computer keyboard, highlighting beige keys with various function keys, including "" king "" and "" ext. """
100256,"a gray varsity jacket featuring a "" wynj "" logo, with colorful sleeves and a striped collar."
100257,"two men in sports uniforms stand beside a trophy, smiling and conversing in front of a blue backdrop."
100258,a hand holds a mobile phone displaying a map with google maps and locations. the phone screen shows various cities and time zones.
100259,"two baseball players in orange uniforms converse on the field. one player has number 11 on his shirt, and the other is number 8."
100260,"the image features a poster listing various names in bold, white text, emphasizing a cultural context."
100261,"a group of cyclists in sports uniforms interacts at a cycling event, surrounded by informational materials and signage."
100262,"a young man in a white shirt and a blue cap smiles, wearing a cap with a logo."
100263,"the image shows a bulletin board with various flyers and posters, including a letter from the minister at a meeting."
100264,"a colorful wall mural featuring the disney pixar toy story logo, with a toy car in front for scale."
100265,"a vintage magazine cover titled "" pitchwatching "" featuring a man sitting, surrounded by colorful illustrations and text about secret diaries."
100266,"a street view featuring two buildings, a fenced area, and a blue sky. the buildings have windows and are modern."
100267,"a football match in progress with players from two teams competing, and a large crowd in the stands."
100268,"three individuals pose together, wearing traditional japanese clothing. one holds a tray, while the other wears a red shirt."
100269,"a person walks on a snowy slope, with mountains in the background and a clear blue sky above."
100270,"a computer monitor displays a colorful illustration of a harbor and landscape, titled "" new 2014. """
100271,"two stacked cardboard boxes labeled "" panasonic "" in a bright, open space, with a wooden floor visible."
100272,"a glass bottle of bourbon whiskey, labeled "" double drog, "" with a dark amber color and a cork stopper."
100273,"a large solar panel array stands against a blue sky, with clouds overhead and a sign for "" solar energy. """
100274,"the image displays a page from a book, featuring poetry collections by various authors, including singer and pianist."
100275,"a bus advertisement featuring a woman promoting sarah palin for a book, promoting a message about her and her youth."
100276,"the image features a comic book titled "" the silver surfer, "" showcasing characters in vibrant colors and a character in a cloaked figure."
100277,"a player in a gray baseball uniform holds a helmet, while another player in a red uniform prepares to catch the ball."
100278,"the image shows a virginia vehicle registration plate reading "" el motth "" with the word "" gwinnet "" below."
100279,"a colorful aircraft with a distinctive design is parked on a runway, surrounded by green trees in the background."
100280,"three individuals sit at a conference table, with glasses of water present. they appear engaged in discussion, with microphones visible."
100281,"billboard for wag wash, promoting healthy pet center with a logo for wag wash."
100282,"a busy bookstore with shelves filled with books, people browsing and interacting with each other in a spacious area."
100283,"the image shows a bottle of talisker, a single malt scotch whisky, with an aged label."
100284,"the image shows various bottles of hand and body lotion labeled "" welcome to me. "" they are labeled for personal care or personal care."
100285,"two wooden rulers are crossed on a textured surface, one marked with measurements in inches and one marked with centimeters."
100286,"a pink bus labeled "" kingfisher "" is driving on a city street, with a taxi visible nearby and a sign for "" plymouth """
100287,"the image features a vintage computer, the styluser, showcasing a beige keyboard and a sleek design."
100288,"the image features two large billboards on a building facade, advertising various advertisements. the left showcases a street scene with buildings and a billboard."
100289,"the image shows a partially layered dessert with a golden icing, placed on aluminum foil on a table."
100290,"a military aircraft, identified as u. s. air force, is parked with a crowd of people nearby."
100291,"a vintage hewlett - packardo calculator with a small display and numerous function buttons, displayed on a window sill."
100292,"television display shows a discussion about angell strinzing as a group of zengo characters, with visuals by characters."
100293,"the image shows a wet surface with the word "" glammu "" displayed, alongside a black box and white cord."
100294,a person holds a glass with a purple handle near a bottle and a candle on a table.
100295,"cheerleaders perform a stunt in blue uniforms, showcasing athleticism in a gym setting with spectators in the background."
100296,"the image features a magazine cover titled "" worth, "" highlighting a rise in private equity with a simple, bold title."
100297,"two vending machines display various drinks, including cans and bottles, organized in a convenience store setting."
100298,"a vintage postcard featuring the later view villa, a charming house with lush greenery and a charming roof design."
100299,"a silver tin can labeled "" budweiser beer "" from the czech premium lager, featuring a colorful design and details about the beer."
100300,"a crianza tequila bottle is partially buried in snow, with a colorful mural in the background."
100301,"the image shows a computer monitor displaying a presentation about privacy, including guidelines for privacy and america ' s leading talent."
100302,"poster announcing an imperial grant for the regional wood, detailing its purchase of $ 4, 000, 000 in canada."
100303,"a mobile phone displaying a social media app, resting on a yellow surface."
100304,"a macbook air displays the macbook app, showcasing interface options and a keyboard with various layout options."
100305,"a baseball game scene with two players on the field, a coach in uniform, and advertisements in the background."
100306,"the image showcases various bottles of liquor, including scotch whisky and whisky, arranged on a bar counter."
100307,"a white police van with green stripes is parked on a highway, displaying "" police "" and an illuminated blue light."
100308,"the image shows a sign displaying "" noullorc, "" likely a political message or message, possibly related to the word "" prospert. """
100309,"two luxury watches are displayed side by side on a light surface, showcasing their stainless steel designs and black dials."
100310,"a man in a military uniform sits at a podium, holding a document, with a scenic backdrop featuring mountains."
100311,"the image features a dvd cover for "" your highness, "" showcasing three characters with a fantasy landscape in the background."
100312,"a bottle of grand cru beer sits on a table, accompanied by a hand holding a bottle."
100313,"a lenovo computer monitor is displayed flat, featuring a blank screen and an attached keyboard. packaging is visible nearby."
100314,"the image features a book cover for "" darker 13, "" showcasing a minimalist design with a white silhouette against a dark background."
100315,"a military propeller - driven plane rests on a weathered log near a building, surrounded by grassy terrain."
100316,"a whiteboard displays concepts like "" the ux design process, "" "" the process is like using data points, "" "" control, "" and "" login. """
100317,"a food shop named "" snack charlotte, "" featuring a white car parked outside and colorful signage in the background."
100318,"a display of various bottles, including a clear vodka, showcasing different labels and designs."
100319,"two stop signs are displayed side by side, each with the text "" stop "" prominently displayed."
100320,"a billboard advertising "" hilton "" housing services, featuring a woman ' s image and the text "" contact to own. "" palm trees are visible nearby."
100321,"a poster promoting a program on programming programming, featuring instructions for programming and printing, with corresponding arrows."
100322,"a man in a black sports uniform pitches, wearing a baseball glove, with a crowd in the background."
100323,"the image features a small bottle of black perfume, labeled "" sublime, "" alongside a decorative box."
100324,"a table setting with wine glasses, a metal bucket, and a sign promoting sharing maryavet."
100325,"the image features a digital display showing the message "" frankfurt, "" indicating a board presentation at a museum."
100326,"a man in a suit stands in front of a map of the uk, discussing brimigham and a cross - country market."
100327,"three bottles are displayed : a green wine labeled "" chateauneuf - du - pape, "" a red wine labeled "" chateauneuf - du - du - pape, "" and a glass of wine labeled "" chateauneu."
100328,a round wall clock with a green glow shows the time as 6 : 16 and the date below.
100329,"the image shows two tin cans of "" oat meal "" milkshakes, featuring decorative labels with historical details and references to irish culture."
100330,"a vending machine featuring multiple cans of asahi beer, showcasing different flavors and sizes."
100331,"the image features a vintage train control panel with five buttons labeled "" st. louis, "" showcasing the train ' s logo."
100332,"a person holds a red sprite can in a store, surrounded by colorful soda bottles labeled "" lebron ' s mix. """
100333,"a person stands outside a shop window featuring a red sign that reads "" fan - shop "" with photographs of sports uniforms."
100334,"a red stop sign with the word "" stop "" prominently displayed, with a handwritten note about it."
100335,"a bottle of reweganze is displayed next to a sleek white menu card, suggesting a premium bottled water."
100336,"a sleek glass perfume bottle with a metallic cap, surrounded by vibrant red flowers and greenery."
100337,"a countertop blender with a glass container, filled with walnuts and yellow fruits, alongside two bottles of olive oil."
100338,"a man in a blue sports uniform stands on a cricket field, wearing number 42 and athletic footwear."
100339,"comic book cover featuring "" fantastic four, "" showcasing a character in action with a sword, surrounded by a group of characters."
100340,"a bottle of stoudts fat dog beer stands next to a glass filled with the dark liquid, showcasing a rich, frothy head."
100341,"a baseball player in a blue uniform celebrates a score, while teammates and spectators watch in the background."
100342,"a marina filled with various boats, including several sailboats, under a clear blue sky. sign indicates "" ferry to sea. """
